ÿÿRELIGION,"Ann Arbor, Michigan",United States
"ÿÿPercent Religiousÿÿ""The percentage of the population that affiliates with a religion. Updated: December, 2016""",32.91%,49.42%
"ÿÿCatholicÿÿ""The percentage of the population that affiliates with the Catholic Church. Updated: December, 2016""",12.65%,19.69%
"ÿÿLDSÿÿ""The percentage of the population that affiliates with The Church of Jesus Christ of Latter-Day Saints. Updated: December, 2016""",0.90%,2.06%
"ÿÿBaptistÿÿ""The percentage of the population that affiliates with the Baptist Faith. Updated: December, 2016""",1.97%,8.17%
"ÿÿEpiscopalianÿÿ""The percentage of the population that affiliates with the Episcopalian Faith. Updated: December, 2016""",0.66%,0.64%
"ÿÿPentecostalÿÿ""The percentage of the population that affiliates with the Pentecostal Faith. Updated: December, 2016""",1.91%,1.90%
"ÿÿLutheranÿÿ""The percentage of the population that affiliates with the Lutheran Faith. Updated: December, 2016""",2.88%,2.36%
"ÿÿMethodistÿÿ""The percentage of the population that affiliates with the Methodist Faith. Updated: December, 2016""",3.07%,3.99%
"ÿÿPresbyterianÿÿ""The percentage of the population that affiliates with the Presbyterian Faith. Updated: December, 2016""",2.97%,1.65%
"ÿÿOther Christianÿÿ""The percentage of the population that affiliates with a Christian Faith not listed. Updated: December, 2016""",3.00%,6.72%
"ÿÿJewishÿÿ""The percentage of the population that affiliates with the Jewish Faith. Updated: December, 2016""",0.92%,0.74%
"ÿÿEasternÿÿ""The percentage of the population that affiliates with an Eastern Religion. Updated: December, 2016""",0.33%,0.54%
"ÿÿIslamÿÿ""The percentage of the population that affiliates with the Islam Faith. Updated: December, 2016""",1.30%,0.85%
